Occupation,Female,Male,Income,Female_Pct,Male_Pct,Ratio
Other,789,863,Lesser,0.938168847,0.861277445,0.918040978
 Adm-clerical,2325,938,Lesser,0.916436736,0.760746148,0.830113108
 Armed-Forces,,8,Lesser,NA,0.888888889,NA
 Craft-repair,202,2968,Lesser,0.90990991,0.765540366,0.841336442
 Exec-managerial,879,1219,Lesser,0.758412425,0.419332645,0.55290846
 Farming-fishing,63,816,Lesser,0.969230769,0.878363832,0.906248398
 Handlers-cleaners,160,1124,Lesser,0.975609756,0.932006633,0.955306799
 Machine-op-inspct,530,1222,Lesser,0.963636364,0.841597796,0.873356204
 Other-service,1749,1409,Lesser,0.971666667,0.942474916,0.969957032
 Priv-house-serv,140,8,Lesser,0.992907801,1,1.007142857
 Prof-specialty,1130,1151,Lesser,0.745874587,0.43847619,0.587868521
 Protective-serv,66,372,Lesser,0.868421053,0.64921466,0.747580517
 Sales,1175,1492,Lesser,0.930324624,0.625052367,0.6718648
 Tech-support,303,342,Lesser,0.870689655,0.589655172,0.677227723
 Transport-moving,81,1196,Lesser,0.9,0.793629728,0.881810809
Other,52,139,Greater,0.061831153,0.138722555,2.243570551
 Adm-clerical,212,295,Greater,0.083563264,0.239253852,2.863146337
 Armed-Forces,,1,Greater,NA,0.111111111,NA
 Craft-repair,20,909,Greater,0.09009009,0.234459634,2.602501934
 Exec-managerial,280,1688,Greater,0.241587575,0.580667355,2.403548086
 Farming-fishing,2,113,Greater,0.030769231,0.121636168,3.953175457
 Handlers-cleaners,4,82,Greater,0.024390244,0.067993367,2.787728027
 Machine-op-inspct,20,230,Greater,0.036363636,0.158402204,4.356060606
 Other-service,51,86,Greater,0.028333333,0.057525084,2.030297069
 Priv-house-serv,1,,Greater,0.007092199,0,0
 Prof-specialty,385,1474,Greater,0.254125413,0.56152381,2.209632653
 Protective-serv,10,201,Greater,0.131578947,0.35078534,2.665968586
 Sales,88,895,Greater,0.069675376,0.374947633,5.381350687
 Tech-support,45,238,Greater,0.129310345,0.410344828,3.173333333
 Transport-moving,9,311,Greater,0.1,0.206370272,2.063702721
